,Kingdom,Phylum,Class,Order,Family,Genus
ASV_V3V400009,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Marinobacterium
ASV_V3V400024,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria
ASV_V3V400036,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_V3V400040,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus
ASV_V3V400042,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400043,Bacteria,Rokubacteria,NC10,Methylomirabilales,Methylomirabilaceae,wb1-A12
ASV_V3V400044,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_V3V400045,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Tepidibacter
ASV_V3V400047,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_V3V400048,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,Inmirania
ASV_V3V400049,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus
ASV_V3V400051,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V400054,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Robiginitalea
ASV_V3V400061,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus
ASV_V3V400062,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,
ASV_V3V400063,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Salinimicrobium
ASV_V3V400064,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_V3V400065,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_3,Clostridiisalibacter
ASV_V3V400066,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_V3V400067,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,
ASV_V3V400069,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081_sediment_group
ASV_V3V400070,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_V3V400071,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324_clade(Marine_group_B),,
ASV_V3V400074,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thioalkalispira
ASV_V3V400076,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
ASV_V3V400077,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,
ASV_V3V400078,Bacteria,Nitrospirae,Thermodesulfovibrionia,,,
ASV_V3V400080,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,,
ASV_V3V400081,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_V3V400083,Bacteria,,,,,
ASV_V3V400087,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Fictibacillus
ASV_V3V400088,Bacteria,,,,,
ASV_V3V400090,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Fodinicurvataceae,Rhodovibrio
ASV_V3V400092,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,
ASV_V3V400094,Bacteria,Chloroflexi,Dehalococcoidia,MSBL5,,
ASV_V3V400095,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081_sediment_group
ASV_V3V400096,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,
ASV_V3V400099,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,
ASV_V3V400100,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,
ASV_V3V400102,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thiohalophilus
ASV_V3V400104,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,,
ASV_V3V400106,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Dichotomicrobium
ASV_V3V400107,Bacteria,Chloroflexi,Anaerolineae,,,
ASV_V3V400108,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thioalkalispira
ASV_V3V400109,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marivita
ASV_V3V400110,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081_sediment_group
ASV_V3V400111,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thiohalophilus
ASV_V3V400112,Bacteria,Acidobacteria,Acidobacteriia,Subgroup_2,,
ASV_V3V400113,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Candidatus_Thiobios
ASV_V3V400114,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400116,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia
ASV_V3V400118,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum
ASV_V3V400119,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,SEEP-SRB1
ASV_V3V400120,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thioalkalispira
ASV_V3V400124,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia
ASV_V3V400125,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas
ASV_V3V400126,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
ASV_V3V400128,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,,
ASV_V3V400131,Bacteria,Bacteroidetes,Ignavibacteria,Ignavibacteriales,PHOS-HE36,
ASV_V3V400132,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,SB-5,
ASV_V3V400134,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Candidatus_Thiobios
ASV_V3V400135,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_V3V400136,Bacteria,Gemmatimonadetes,BD2-11_terrestrial_group,,,
ASV_V3V400137,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thiohalophilus
ASV_V3V400138,Bacteria,Proteobacteria,Gammaproteobacteria,Milano-WF1B-44,,
ASV_V3V400139,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum
ASV_V3V400140,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Robiginitalea
ASV_V3V400141,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter
ASV_V3V400142,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,
ASV_V3V400143,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus
ASV_V3V400144,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,,
ASV_V3V400145,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Pseudohaliea
ASV_V3V400146,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,
ASV_V3V400149,Bacteria,Rokubacteria,NC10,Methylomirabilales,Methylomirabilaceae,wb1-A12
ASV_V3V400150,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V400151,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiohalocapsa
ASV_V3V400152,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,
ASV_V3V400153,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,
ASV_V3V400155,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,,
ASV_V3V400156,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,ADurb.Bin120
ASV_V3V400158,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Actibacter
ASV_V3V400159,Bacteria,Nitrospirae,Thermodesulfovibrionia,,,
ASV_V3V400160,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,
ASV_V3V400161,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081_sediment_group
ASV_V3V400163,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,bacteriap25,
ASV_V3V400166,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,
ASV_V3V400167,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_V3V400168,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,
ASV_V3V400172,Bacteria,Gemmatimonadetes,S0134_terrestrial_group,,,
ASV_V3V400173,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,
ASV_V3V400174,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geothermobacter
ASV_V3V400175,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter
ASV_V3V400176,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Synechococcus_MBIC10613
ASV_V3V400178,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324_clade(Marine_group_B),,
ASV_V3V400180,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Sporacetigenium
ASV_V3V400181,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,
ASV_V3V400183,Bacteria,Bacteroidetes,Ignavibacteria,Ignavibacteriales,PHOS-HE36,
ASV_V3V400186,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Tepidibacter
ASV_V3V400187,Bacteria,,,,,
ASV_V3V400188,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,
ASV_V3V400189,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10
ASV_V3V400190,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfofustis
ASV_V3V400191,Bacteria,Chloroflexi,Anaerolineae,,,
ASV_V3V400192,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_V3V400193,Bacteria,Proteobacteria,Gammaproteobacteria,,,
ASV_V3V400194,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,Thioalkalivibrio
ASV_V3V400195,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Winogradskyella
ASV_V3V400196,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Sporacetigenium
ASV_V3V400197,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,
ASV_V3V400200,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_3,Clostridiisalibacter
ASV_V3V400201,Bacteria,,,,,
ASV_V3V400202,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1
ASV_V3V400203,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,ML635J-40_aquatic_group,
ASV_V3V400206,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Actibacter
ASV_V3V400207,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400208,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,
ASV_V3V400209,Bacteria,Bacteroidetes,Rhodothermia,Balneolales,Balneolaceae,
ASV_V3V400211,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,
ASV_V3V400212,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,
ASV_V3V400213,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Sporacetigenium
ASV_V3V400214,Bacteria,Proteobacteria,Alphaproteobacteria,,,
ASV_V3V400215,Bacteria,Nitrospirae,Thermodesulfovibrionia,,,
ASV_V3V400216,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum
ASV_V3V400219,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfatitalea
ASV_V3V400220,Bacteria,Acidobacteria,Aminicenantia,Aminicenantales,,
ASV_V3V400221,Bacteria,Proteobacteria,Gammaproteobacteria,MBMPE27,,
ASV_V3V400222,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus
ASV_V3V400223,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfotignum
ASV_V3V400224,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Sva1033,
ASV_V3V400225,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Candidatus_Anammoximicrobium
ASV_V3V400226,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,
ASV_V3V400228,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,ADurb.Bin120
ASV_V3V400229,Bacteria,Planctomycetes,Planctomycetacia,,,
ASV_V3V400230,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter
ASV_V3V400231,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Desulfobacca
ASV_V3V400232,Bacteria,Gemmatimonadetes,BD2-11_terrestrial_group,,,
ASV_V3V400234,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,
ASV_V3V400235,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,bacteriap25,
ASV_V3V400236,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_3,Clostridiisalibacter
ASV_V3V400238,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,
ASV_V3V400239,Bacteria,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,Calorithrix
ASV_V3V400240,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thioalkalispira
ASV_V3V400241,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_13
ASV_V3V400245,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,
ASV_V3V400247,Bacteria,Cyanobacteria,Oxyphotobacteria,Phormidesmiales,Nodosilineaceae,
ASV_V3V400253,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,
ASV_V3V400254,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,
ASV_V3V400256,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Robiginitalea
ASV_V3V400257,Bacteria,Proteobacteria,Gammaproteobacteria,,,
ASV_V3V400258,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400259,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia
ASV_V3V400261,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400262,Bacteria,Chloroflexi,Anaerolineae,,,
ASV_V3V400263,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400265,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,Puniceispirillales_Incertae_Sedis,Constrictibacter
ASV_V3V400267,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Kiloniellaceae,
ASV_V3V400269,Bacteria,Proteobacteria,Gammaproteobacteria,Halothiobacillales,Halothiobacillaceae,Halothiobacillus
ASV_V3V400270,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia
ASV_V3V400272,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Colwellbacteria,,
ASV_V3V400273,Bacteria,Chloroflexi,Dehalococcoidia,S085,,
ASV_V3V400274,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,
ASV_V3V400276,Bacteria,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,Calorithrix
ASV_V3V400277,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,
ASV_V3V400279,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081_sediment_group
ASV_V3V400280,Bacteria,Chloroflexi,Dehalococcoidia,GIF9,AB-539-J10,SCGC-AB-539-J10
ASV_V3V400281,Bacteria,Chloroflexi,Dehalococcoidia,S085,,
ASV_V3V400283,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,SB-5,
ASV_V3V400284,Bacteria,Bacteroidetes,Ignavibacteria,Ignavibacteriales,UA-50,
ASV_V3V400285,Bacteria,Acidobacteria,Blastocatellia_(Subgroup_4),Blastocatellales,Blastocatellaceae,
ASV_V3V400287,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,
ASV_V3V400289,Bacteria,Chloroflexi,Dehalococcoidia,FW22,,
ASV_V3V400290,Bacteria,Patescibacteria,Parcubacteria,,,
ASV_V3V400291,Bacteria,Bacteroidetes,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium
ASV_V3V400294,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,Inmirania
ASV_V3V400295,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,,
ASV_V3V400296,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tropicimonas
ASV_V3V400297,Bacteria,Gemmatimonadetes,,,,
ASV_V3V400299,Bacteria,Acidobacteria,Subgroup_21,,,
ASV_V3V400300,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
ASV_V3V400301,Bacteria,Chloroflexi,OLB14,,,
ASV_V3V400302,Bacteria,Nitrospinae,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina
ASV_V3V400304,Bacteria,Chloroflexi,Anaerolineae,,,
ASV_V3V400305,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Luteibacter
ASV_V3V400306,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,
ASV_V3V400307,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
ASV_V3V400310,Bacteria,WS2,,,,
ASV_V3V400311,Bacteria,Chloroflexi,Dehalococcoidia,MSBL5,,
ASV_V3V400312,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,,
ASV_V3V400313,Bacteria,Bacteroidetes,Ignavibacteria,Ignavibacteriales,UA-50,
ASV_V3V400314,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,SB-5,
ASV_V3V400315,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,
ASV_V3V400316,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V400317,Bacteria,Gemmatimonadetes,S0134_terrestrial_group,,,
ASV_V3V400318,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfurifustis
ASV_V3V400319,Bacteria,Proteobacteria,Gammaproteobacteria,,,
ASV_V3V400320,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Anderseniella
ASV_V3V400321,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,
ASV_V3V400322,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius
ASV_V3V400323,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,
ASV_V3V400324,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,SB-5,
ASV_V3V400325,Bacteria,Bacteroidetes,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium
ASV_V3V400326,Bacteria,Chloroflexi,Anaerolineae,,,
ASV_V3V400327,Bacteria,Planctomycetes,Pla3_lineage,,,
ASV_V3V400329,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10
ASV_V3V400330,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,
ASV_V3V400331,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400332,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V400333,Bacteria,Acidobacteria,Acidobacteriia,Subgroup_2,,
ASV_V3V400334,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400335,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,
ASV_V3V400338,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,
ASV_V3V400339,Bacteria,Chloroflexi,Dehalococcoidia,S085,,
ASV_V3V400341,Bacteria,Proteobacteria,Gammaproteobacteria,,,
ASV_V3V400342,Bacteria,Gemmatimonadetes,BD2-11_terrestrial_group,,,
ASV_V3V400345,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,,
ASV_V3V400346,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter
ASV_V3V400347,Bacteria,Bacteroidetes,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium
ASV_V3V400348,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400349,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,
ASV_V3V400350,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,
ASV_V3V400352,Bacteria,Gemmatimonadetes,BD2-11_terrestrial_group,,,
ASV_V3V400353,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea
ASV_V3V400354,Bacteria,Proteobacteria,Gammaproteobacteria,,,
ASV_V3V400355,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081_sediment_group
ASV_V3V400357,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
ASV_V3V400358,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081_sediment_group
ASV_V3V400359,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,
ASV_V3V400362,Bacteria,Gemmatimonadetes,BD2-11_terrestrial_group,,,
ASV_V3V400363,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes_vadinHA17,
ASV_V3V400364,Bacteria,Gemmatimonadetes,BD2-11_terrestrial_group,,,
ASV_V3V400365,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,
ASV_V3V400366,Bacteria,Tenericutes,Mollicutes,Haloplasmatales,Haloplasmataceae,Haloplasma
ASV_V3V400367,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,
ASV_V3V400368,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,
ASV_V3V400369,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Luteibacter
ASV_V3V400371,Bacteria,Gemmatimonadetes,BD2-11_terrestrial_group,,,
ASV_V3V400372,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,,
ASV_V3V400373,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,ADurb.Bin120
ASV_V3V400374,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Sva1033,
ASV_V3V400375,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutibacter
ASV_V3V400376,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Robiginitalea
ASV_V3V400378,Bacteria,Proteobacteria,Alphaproteobacteria,,,
ASV_V3V400379,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324_clade(Marine_group_B),,
ASV_V3V400381,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas
ASV_V3V400384,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,mle1-7
ASV_V3V400385,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae_(Subgroup_3),PAUC26f
ASV_V3V400387,Bacteria,Actinobacteria,Nitriliruptoria,Nitriliruptorales,Nitriliruptoraceae,
ASV_V3V400388,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,Thiogranum
ASV_V3V400389,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Haliea
ASV_V3V400390,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,RBG-16-58-14
ASV_V3V400393,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,
ASV_V3V400394,Bacteria,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,Calorithrix
ASV_V3V400395,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,
ASV_V3V400397,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V400398,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,JTB255_marine_benthic_group
ASV_V3V400400,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
ASV_V3V400401,Bacteria,Bacteroidetes,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium
ASV_V3V400405,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,,
ASV_V3V400407,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_V3V400408,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_V3V400409,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,
