,Kingdom,Phylum,Class,Order,Family,Genus
ASV_V3V403665,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thioalkalispira
ASV_V3V403666,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pir4_lineage
ASV_V3V403667,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,Cryomorpha
ASV_V3V403668,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,
ASV_V3V403678,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_V3V403680,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Nomurabacteria,,
ASV_V3V403681,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,
ASV_V3V403683,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V403691,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,
ASV_V3V403698,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Microcystaceae,SU2_symbiont_group
ASV_V3V403715,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V403716,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfosalsimonas
ASV_V3V403722,Bacteria,Chloroflexi,Dehalococcoidia,MSBL5,,
ASV_V3V403723,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV_V3V403724,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_7
ASV_V3V403734,Bacteria,Halanaerobiaeota,Halanaerobiia,Halanaerobiales,Halanaerobiaceae,Halanaerobium
ASV_V3V403736,Bacteria,Nitrospinae,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina
ASV_V3V403738,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V403744,Bacteria,Nitrospirae,Thermodesulfovibrionia,,,
ASV_V3V403745,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,
ASV_V3V403750,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,
ASV_V3V403758,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V403761,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_1
ASV_V3V403768,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,
ASV_V3V403773,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas
ASV_V3V403774,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas
ASV_V3V403782,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,
ASV_V3V403784,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
ASV_V3V403795,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,
ASV_V3V403803,Bacteria,Proteobacteria,Gammaproteobacteria,,,
ASV_V3V403804,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,JTB255_marine_benthic_group
ASV_V3V403810,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_V3V403816,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Kiloniellaceae,Pelagibius
ASV_V3V403825,Bacteria,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,
